MAG,indicator,season,exchange,phylum,type
A.DB2.MP.4.fa,N,3.nov,NA,p__Actinobacteriota,onlyMP
A.YL2.MP.14.semibin.fa,Y,3.nov,NA,p__Actinobacteriota,onlyMP
M.TR12D.nonMP.9.fa,Y,3.nov,5,p__Actinobacteriota,onlyMP
S.KN5.MP.2.fa,N,3.nov,NA,p__Actinobacteriota,onlyMP
S.TR12D.nonMP.26.fa,N,3.nov,5,p__Actinobacteriota,onlyMP
A.DB2.MP.4.fa,N,4.aug,5,p__Actinobacteriota,onlyMP
A.YL2.MP.14.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyMP
M.TR12D.nonMP.9.fa,N,4.aug,NA,p__Actinobacteriota,onlyMP
S.KN5.MP.2.fa,Y,4.aug,5,p__Actinobacteriota,onlyMP
S.TR12D.nonMP.26.fa,N,4.aug,NA,p__Actinobacteriota,onlyMP
A.KN5.nonMP.17.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
A.PR7.W.0.semibin.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
M.DB2.nonMP.11.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
M.DB2.nonMP.6.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
M.KN5.nonMP.8.semibin.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
M.TN2.nonMP.3.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
M.W.DB2.5.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
M.W.KN5.42.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
M.W.TN6.1.semibin.fa,Y,1.feb,NA,p__Actinobacteriota,onlyNP
M.W.YL4.13.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
S.KN5.W.23.semibin.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
S.PR7.nonMP.4.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
S.TR12I.nonMP.26.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
S.TSR1.W.19.fa,N,1.feb,NA,p__Actinobacteriota,onlyNP
A.KN5.nonMP.17.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
A.PR7.W.0.semibin.fa,N,4.aug,NA,p__Actinobacteriota,onlyNP
M.DB2.nonMP.11.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
M.DB2.nonMP.6.fa,N,4.aug,5,p__Actinobacteriota,onlyNP
